customer_id,true_offer,recommendation_1,confidence_1,recommendation_2,confidence_2,recommendation_3,confidence_3,hit_in_topk
C04655,Device Upgrade Offer,Device Upgrade Offer,0.8345511737772933,General Offer,0.16184855910810347,Data Booster,0.0036002670761896465,True
C03384,General Offer,General Offer,0.9991963593820384,"General Offer""",0.0008036405784649112,Top-up Promo,5.642394220523117e-12,True
C02486,Data Booster,Data Booster,0.9736805783741271,General Offer,0.0149832188145803,Device Upgrade Offer,0.011336202775798266,True
C00015,Device Upgrade Offer,Device Upgrade Offer,0.9573300837183417,General Offer,0.04266991624002303,Top-up Promo,5.947898705239971e-12,True
C00132,Data Booster,Data Booster,0.9834660010845833,Device Upgrade Offer,0.016533998874853153,Top-up Promo,5.794802191479708e-12,True
C05456,Streaming Partner Pack,Roaming Pass,0.9243547750881311,General Offer,0.0696916071327871,Device Upgrade Offer,0.002095682802285752,False
C05966,General Offer,General Offer,0.9926017065104424,Roaming Pass,0.004631967262262779,Family Plan Offer,0.0019475023332046672,True
C05143,Streaming Partner Pack,General Offer,0.32545009671213243,Device Upgrade Offer,0.2897000589756448,Roaming Pass,0.24623335849181704,False
C02227,Top-up Promo,Streaming Partner Pack,0.8192253500717385,"General Offer""",0.17859929017214,General Offer,0.002175359717591799,False
C01375,General Offer,General Offer,0.9937498091682543,"General Offer""",0.004617616746060025,Roaming Pass,0.0008162870285149008,True
C04481,General Offer,General Offer,0.9999999999550127,Top-up Promo,5.623413251650514e-12,Streaming Partner Pack,5.623413251650514e-12,True
C03255,General Offer,General Offer,0.9991963593820384,Roaming Pass,0.0008036405784649112,Top-up Promo,5.642394220523117e-12,True
C05056,General Offer,General Offer,0.9549090178843748,Streaming Partner Pack,0.0450909820739072,Top-up Promo,5.9597385856578924e-12,True
C04837,Roaming Pass,Retention Offer,0.5563439993875025,Data Booster,0.1923636536700926,"General Offer""",0.16185480809659322,False
C00070,Voice Bundle,Top-up Promo,0.6722567235558824,General Offer,0.2865369961222834,Data Booster,0.02246065810444908,False
C00198,General Offer,General Offer,0.6938640001903799,Device Upgrade Offer,0.3029395553068635,Data Booster,0.0022503069470464314,True
C04141,General Offer,General Offer,0.6943566464139982,Device Upgrade Offer,0.2975660129681381,Roaming Pass,0.007124458124604595,True
C06400,General Offer,General Offer,0.9991963593820384,"General Offer""",0.0008036405784649112,Top-up Promo,5.642394220523117e-12,True
C06268,General Offer,General Offer,0.9999999999550127,Top-up Promo,5.623413251650514e-12,Streaming Partner Pack,5.623413251650514e-12,True
C00162,General Offer,General Offer,0.9980827280717024,Roaming Pass,0.0019172718886793763,Top-up Promo,5.659756910892866e-12,True
C00358,General Offer,General Offer,0.5488273105194509,Device Upgrade Offer,0.42103267379169057,Roaming Pass,0.02915246097997529,True
C07272,Retention Offer,"General Offer""",0.9959859041715512,General Offer,0.0032028759737511084,Retention Offer,0.0008112198205240613,True
C09342,General Offer,General Offer,0.9690208528852677,Device Upgrade Offer,0.02097766082362961,Data Booster,0.007980257993271504,True
C03609,General Offer,General Offer,0.9999999999550127,Top-up Promo,5.623413251650514e-12,Streaming Partner Pack,5.623413251650514e-12,True
C06866,General Offer,General Offer,0.9774930735015495,Device Upgrade Offer,0.02250692645760402,Top-up Promo,5.835226464962209e-12,True
C09513,General Offer,General Offer,0.9999999999550127,Top-up Promo,5.623413251650514e-12,Streaming Partner Pack,5.623413251650514e-12,True
C01130,Data Booster,Data Booster,0.7610610341775695,Retention Offer,0.2343109571409426,Device Upgrade Offer,0.0036927214662459823,True
C04797,General Offer,General Offer,0.9296831504356834,Device Upgrade Offer,0.06649171338909202,"General Offer""",0.0020778660434091264,True
C04788,Device Upgrade Offer,Device Upgrade Offer,0.5973013458707142,Data Booster,0.1954196715870816,Family Plan Offer,0.11772107119390986,True
C01448,General Offer,General Offer,0.9959859041715512,"General Offer""",0.0032028759737511084,Retention Offer,0.0008112198205240613,True
C05035,Device Upgrade Offer,Device Upgrade Offer,0.7195923930341831,General Offer,0.2785293867115007,Retention Offer,0.0009391101106742693,True
C03054,Data Booster,Data Booster,0.8548160196354655,Device Upgrade Offer,0.13385779166453282,General Offer,0.010411756582430258,True
C09025,Data Booster,Data Booster,0.8782260125098744,General Offer,0.06224184971911114,Device Upgrade Offer,0.05430023113766165,True
C06950,General Offer,General Offer,0.9991963593820383,Device Upgrade Offer,0.0008036405784649111,Top-up Promo,5.642394220523117e-12,True
C08937,General Offer,General Offer,0.9999999999550127,Top-up Promo,5.623413251650514e-12,Streaming Partner Pack,5.623413251650514e-12,True
C07770,Retention Offer,"General Offer""",0.48469295614990454,General Offer,0.3767805951059616,Streaming Partner Pack,0.13749234046616585,False
C08267,General Offer,General Offer,0.9991963593820384,"General Offer""",0.0008036405784649112,Top-up Promo,5.642394220523117e-12,True
C06057,Data Booster,Data Booster,0.7235226471274461,General Offer,0.2727003955651975,Roaming Pass,0.0009442393218669268,True
C02590,General Offer,General Offer,0.9972673818032946,Roaming Pass,0.001923771770036698,Device Upgrade Offer,0.0008088463925950758,True
C04138,Data Booster,Data Booster,0.9964465009984514,Device Upgrade Offer,0.0019303090296732407,Roaming Pass,0.0008115949716920517,True
C03511,General Offer,General Offer,0.9991963593820384,Retention Offer,0.0008036405784649112,Top-up Promo,5.642394220523117e-12,True
C07164,Retention Offer,"General Offer""",0.9991963593820384,General Offer,0.0008036405784649112,Top-up Promo,5.642394220523117e-12,False
C04279,General Offer,General Offer,0.9983872809561679,Roaming Pass,0.0008063595049316077,Family Plan Offer,0.0008063595049316077,True
C08688,General Offer,General Offer,0.9686975054408384,Data Booster,0.02507823692803224,Device Upgrade Offer,0.003354165562304652,True
C00053,Device Upgrade Offer,General Offer,0.6450453287334251,Device Upgrade Offer,0.29082950114000145,Top-up Promo,0.025196073382993647,True
C01346,General Offer,General Offer,0.9999999999550127,Top-up Promo,5.623413251650514e-12,Streaming Partner Pack,5.623413251650514e-12,True
C06811,General Offer,General Offer,0.9983872809561679,"General Offer""",0.0008063595049316077,Data Booster,0.0008063595049316077,True
C01800,General Offer,General Offer,0.9991963593820383,Top-up Promo,0.0008036405784649111,Streaming Partner Pack,5.642394220523117e-12,True
C00653,Device Upgrade Offer,General Offer,0.49230044392345623,Device Upgrade Offer,0.4617264289260912,Roaming Pass,0.027684088402771347,True
C06746,Retention Offer,"General Offer""",0.9810395849012795,Roaming Pass,0.01483299977318638,Device Upgrade Offer,0.0032932944213519655,False
C05086,General Offer,General Offer,0.902717965323915,Device Upgrade Offer,0.0561704116855922,Roaming Pass,0.036203028561384354,True
C09232,General Offer,General Offer,0.9991963593820384,"General Offer""",0.0008036405784649112,Top-up Promo,5.642394220523117e-12,True
C08032,General Offer,General Offer,0.9991963593820383,Device Upgrade Offer,0.0008036405784649111,Top-up Promo,5.642394220523117e-12,True
C07789,General Offer,General Offer,0.8205840029665552,Device Upgrade Offer,0.1732840591908716,Data Booster,0.005210791337680733,True
C08419,General Offer,General Offer,0.9834660010845833,"General Offer""",0.016533998874853153,Top-up Promo,5.794802191479708e-12,True
